id_transacao,data,hora,destinatario,valor,categoria,forma_pagamento
1,2025-05-07,20:02:28,Açougue Akimi,163.19,alimentação,boleto
2,2025-08-05,23:35:31,App de Transporte Iamato,12.3,transporte,cartão crédito
3,2025-09-06,06:45:39,Loja de Roupas Gonçalves,395.65,despesas pessoais,cartão débito
4,2024-10-30,06:44:57,Metrô Paffaro,16.79,transporte,cartão débito
5,2025-07-27,16:48:53,Estacionamento Iamato,32.75,transporte,boleto
6,2025-09-30,03:16:00,Sorveteria Iamato,9.57,alimentação,cartão débito
7,2025-08-14,11:40:50,Recarga de Celular Paffaro,92.73,comunicação,pix
8,2024-10-24,03:30:11,Material de Construção Akimi,3738.73,casa,cartão débito
9,2025-06-04,11:47:59,Serviços Postais Gonçalves,21.01,comunicação,pix
10,2025-08-23,03:31:52,Estacionamento Paffaro,43.85,transporte,cartão crédito
11,2024-12-18,23:39:44,Impostos Paffaro,252.93,outros,pix
12,2025-08-04,13:20:15,Agência de Viagens Iamato,3465.31,lazer,pix
13,2025-07-18,00:02:39,Metrô Akimi,45.3,transporte,cartão crédito
14,2025-07-13,02:18:40,Hospital Iamato,2773.33,saúde,boleto
15,2025-03-08,03:38:31,Consultoria Paffaro,684.56,outros,cartão crédito
16,2025-03-13,05:46:58,Bar Akimi,240.02,lazer,boleto
17,2025-10-05,04:26:07,Companhia Telefônica Iamato,103.5,comunicação,boleto
18,2024-11-26,10:39:18,Faculdade Paffaro,4588.74,educação,cartão crédito
19,2025-08-26,19:25:29,Serviços Postais Gonçalves,23.91,comunicação,cartão débito
20,2025-03-19,12:53:03,Livraria Paffaro,207.24,despesas pessoais,cartão débito
21,2024-11-11,18:01:42,Curso de Idiomas Paffaro,340.24,educação,cartão crédito
22,2025-08-24,22:23:48,Mercado Iamato,90.68,alimentação,boleto
23,2025-02-11,19:10:02,Recarga de Celular Akimi,20.62,comunicação,cartão crédito
24,2025-02-23,04:43:50,Hortifruti Gonçalves,130.51,alimentação,cartão crédito
25,2024-10-28,09:43:22,Salão de Beleza Paffaro,133.95,despesas pessoais,pix
26,2025-07-21,13:41:05,Posto de Gasolina Akimi,195.6,transporte,cartão débito
27,2025-08-18,07:21:27,Farmácia Iamato,248.95,saúde,pix
28,2025-01-25,03:53:28,Perfumaria Iamato,163.53,despesas pessoais,cartão crédito
29,2024-11-17,01:40:23,Recarga de Celular Akimi,93.45,comunicação,pix
30,2024-12-29,16:25:13,Eletricista Gonçalves,490.92,casa,pix
31,2025-08-23,14:04:34,Consultório Médico Akimi,531.9,saúde,pix
32,2025-01-23,13:26:59,Streaming Akimi,53.4,lazer,cartão crédito
33,2025-09-22,14:02:25,Salão de Beleza Iamato,198.6,despesas pessoais,cartão débito
34,2025-02-04,11:34:39,Laboratório Gonçalves,682.1,saúde,cartão débito
35,2024-12-26,21:33:18,Plano de Saúde Paffaro,1087.25,saúde,cartão crédito
36,2025-08-12,00:15:04,Empresa de Ônibus Gonçalves,58.38,transporte,boleto
37,2025-08-25,15:33:38,Loja de Calçados Gonçalves,387.41,despesas pessoais,pix
38,2025-03-10,21:41:46,Provedor de Internet Iamato,104.68,comunicação,cartão crédito
39,2025-05-03,23:17:56,Curso Online Akimi,888.15,educação,pix
40,2025-07-16,06:20:30,Parque Akimi,20.65,lazer,pix
41,2025-02-02,05:14:00,Aluguel Paffaro,3053.68,casa,boleto
42,2025-02-09,00:41:06,Provedor de Internet Gonçalves,170.0,comunicação,pix
43,2025-08-31,04:25:27,Loja de Calçados Akimi,420.09,despesas pessoais,boleto
44,2025-02-18,02:50:25,Cinema Akimi,99.18,lazer,cartão crédito
45,2025-06-13,15:54:44,App de Transporte Akimi,55.85,transporte,cartão crédito
46,2025-09-27,17:12:54,Cinema Paffaro,41.05,lazer,boleto
47,2025-04-18,13:45:40,Curso de Idiomas Akimi,466.96,educação,cartão débito
48,2025-01-19,17:06:39,Provedor de Internet Paffaro,168.66,comunicação,cartão crédito
49,2025-05-23,16:35:43,Streaming Gonçalves,48.12,lazer,cartão débito
50,2025-01-18,03:41:01,Impostos Paffaro,146.33,outros,pix
51,2025-03-11,01:57:52,Livraria Iamato,220.52,educação,pix
52,2024-12-12,03:21:21,Academia Iamato,113.62,despesas pessoais,pix
53,2025-08-17,00:35:21,Streaming Paffaro,21.56,lazer,pix
54,2024-12-28,20:52:24,Salão de Beleza Akimi,111.8,despesas pessoais,pix
55,2025-02-28,12:33:55,Consultoria Akimi,2536.22,outros,cartão débito
56,2025-04-21,23:48:32,Açougue Paffaro,38.33,alimentação,cartão crédito
57,2025-05-20,06:40:50,Farmácia Paffaro,285.81,saúde,cartão débito
58,2025-01-11,02:37:21,Serviços Gerais Akimi,976.06,outros,boleto
59,2025-03-04,17:33:56,Doação Gonçalves,279.93,outros,cartão crédito
60,2024-11-23,15:04:54,Serviços Postais Akimi,6.76,comunicação,cartão débito
61,2025-02-28,02:37:23,Conta de Água Iamato,216.68,casa,cartão débito
62,2024-12-12,10:59:54,Aluguel Akimi,1726.22,casa,boleto
63,2025-08-02,17:03:14,Lanchonete Iamato,69.77,alimentação,boleto
64,2025-05-01,16:55:20,Streaming Paffaro,52.98,lazer,boleto
65,2024-10-22,14:37:35,Consultoria Akimi,286.61,outros,pix
66,2025-01-24,15:56:37,Clínica Odontológica Gonçalves,724.35,saúde,cartão débito
67,2025-08-14,07:48:01,Hospital Gonçalves,4603.4,saúde,cartão débito
68,2025-08-26,14:30:01,Aluguel Iamato,1232.23,casa,cartão débito
69,2024-11-08,05:21:29,Agência de Viagens Gonçalves,1873.25,lazer,cartão crédito
70,2025-01-02,16:51:26,Pet Shop Akimi,365.09,despesas pessoais,cartão débito
71,2025-06-23,20:45:29,Curso de Idiomas Iamato,740.77,educação,cartão crédito
72,2025-04-15,23:15:14,Consultoria Iamato,1496.69,outros,pix
73,2025-09-26,14:10:43,Clínica Odontológica Paffaro,843.66,saúde,boleto
74,2025-08-05,23:17:16,Salão de Beleza Akimi,154.56,despesas pessoais,cartão crédito
75,2025-03-06,02:49:34,Bar Iamato,224.39,lazer,pix
76,2025-03-23,19:31:36,Faculdade Gonçalves,1750.38,educação,cartão débito
77,2024-12-23,05:32:59,Cinema Gonçalves,53.73,lazer,cartão crédito
78,2024-12-03,03:32:00,Agência de Viagens Akimi,3439.4,lazer,cartão débito
79,2025-06-05,00:44:42,Loja de Departamentos Gonçalves,376.73,outros,pix
80,2025-09-10,03:12:25,Hortifruti Iamato,142.43,alimentação,pix
81,2025-03-27,20:34:40,Eletricista Iamato,908.07,casa,boleto
82,2025-09-06,16:22:07,Açougue Paffaro,71.93,alimentação,pix
83,2025-07-25,07:55:41,Cafeteria Gonçalves,7.17,alimentação,cartão débito
84,2025-10-05,13:28:35,Salão de Beleza Akimi,247.51,despesas pessoais,boleto
85,2025-09-04,12:42:06,Empresa de Ônibus Akimi,83.37,transporte,cartão débito
86,2024-12-18,05:41:33,Lanchonete Gonçalves,62.98,alimentação,boleto
87,2025-09-09,22:13:35,Clínica Odontológica Paffaro,903.37,saúde,boleto
88,2025-03-09,07:19:29,Serviços Postais Paffaro,34.61,comunicação,pix
89,2025-07-13,21:46:55,Farmácia Gonçalves,151.77,saúde,pix
90,2025-05-16,03:45:26,Serviços Postais Paffaro,32.4,comunicação,cartão crédito
91,2025-07-12,19:30:24,Companhia Telefônica Iamato,182.96,comunicação,pix
92,2025-01-06,19:49:17,Curso Online Paffaro,798.93,educação,cartão crédito
93,2025-03-18,22:09:58,Barbearia Akimi,21.4,despesas pessoais,pix
94,2024-11-23,07:57:23,Loja de Peças Paffaro,976.93,transporte,cartão débito
95,2025-02-12,05:01:23,Companhia Telefônica Akimi,222.52,comunicação,boleto
96,2025-01-05,07:33:16,Streaming Paffaro,45.31,lazer,pix
97,2025-03-23,22:52:02,Serviços Postais Gonçalves,37.11,comunicação,pix
98,2025-06-17,00:41:29,Faculdade Iamato,1245.49,educação,cartão débito
99,2025-01-30,17:49:03,Agência de Viagens Akimi,4981.65,lazer,cartão crédito
100,2025-09-25,19:29:52,Livraria Paffaro,163.81,despesas pessoais,cartão crédito
101,2025-04-05,05:48:40,Consultório Médico Akimi,343.49,saúde,cartão crédito
102,2024-11-23,11:15:18,Loja de Departamentos Iamato,407.97,outros,cartão débito
103,2025-01-08,20:43:17,Mercado Gonçalves,364.32,alimentação,cartão crédito
104,2025-08-28,15:15:21,Companhia Telefônica Paffaro,184.28,comunicação,cartão crédito
105,2024-12-19,02:07:32,Barbearia Iamato,41.65,despesas pessoais,cartão débito
106,2025-03-23,14:10:10,Loja de Móveis Iamato,2325.16,casa,cartão débito
107,2025-08-25,11:39:05,Pet Shop Gonçalves,181.81,despesas pessoais,boleto
108,2025-08-10,09:29:21,Loja de Calçados Paffaro,386.17,despesas pessoais,cartão crédito
109,2025-09-29,03:59:39,Laboratório Akimi,305.76,saúde,pix
110,2024-12-26,00:45:24,Farmácia Gonçalves,255.68,saúde,cartão débito
111,2024-11-30,11:29:06,Laboratório Gonçalves,140.05,saúde,boleto
112,2025-01-13,08:29:35,Laboratório Iamato,275.44,saúde,cartão débito
113,2025-01-29,06:20:20,Agência de Viagens Gonçalves,3568.81,lazer,cartão débito
114,2025-04-27,02:36:23,Lanchonete Akimi,14.12,alimentação,cartão crédito
115,2025-02-11,10:08:56,Pedágio Iamato,23.47,transporte,boleto
116,2025-06-22,04:54:27,Material de Construção Iamato,2885.6,casa,cartão débito
117,2025-06-13,23:43:03,Loja de Jogos Iamato,141.0,lazer,boleto
118,2025-06-11,22:57:55,Loja de Peças Gonçalves,760.16,transporte,pix
119,2025-09-30,20:09:46,Conta de Luz Iamato,298.39,casa,pix
120,2024-11-17,10:24:30,Parque Akimi,66.61,lazer,cartão débito
121,2025-01-27,06:10:22,Recarga de Celular Paffaro,75.11,comunicação,cartão débito
122,2025-03-19,02:55:41,Plano de Saúde Gonçalves,1606.61,saúde,cartão débito
123,2025-01-25,19:16:59,Escola Gonçalves,1175.47,educação,boleto
124,2025-01-09,17:12:29,Farmácia Akimi,268.85,saúde,cartão débito
125,2025-03-01,22:23:51,Provedor de Internet Iamato,142.99,comunicação,cartão débito
126,2024-11-30,06:22:31,Livraria Gonçalves,178.36,educação,cartão débito
127,2025-07-01,18:07:36,Farmácia Iamato,127.33,saúde,boleto
128,2025-05-11,18:15:50,Doação Gonçalves,329.01,outros,boleto
129,2025-06-20,09:43:58,Conta de Luz Paffaro,318.0,casa,boleto
130,2025-04-20,12:57:10,App de Transporte Iamato,68.9,transporte,cartão débito
131,2025-07-24,00:49:22,Metrô Iamato,18.65,transporte,cartão débito
132,2025-07-14,00:00:55,Supermercado Gonçalves,838.81,alimentação,boleto
133,2024-10-18,15:08:29,Salão de Beleza Gonçalves,106.87,despesas pessoais,pix
134,2025-05-05,17:39:02,Supermercado Iamato,873.9,alimentação,cartão débito
135,2025-01-11,21:36:24,Companhia Telefônica Paffaro,210.42,comunicação,cartão crédito
136,2025-10-09,04:01:06,Impostos Paffaro,597.0,outros,boleto
137,2025-06-30,20:32:02,Farmácia Akimi,82.73,saúde,pix
138,2025-01-29,23:39:15,Loja de Roupas Iamato,342.32,despesas pessoais,pix
139,2025-07-22,08:21:18,Hortifruti Gonçalves,37.8,alimentação,boleto
140,2025-10-01,13:17:10,Clínica Odontológica Iamato,1388.46,saúde,cartão débito
141,2025-07-15,05:03:43,Doceria Paffaro,28.65,alimentação,cartão débito
142,2025-01-28,05:41:08,Metrô Paffaro,13.55,transporte,cartão crédito
143,2025-04-13,01:45:50,Consultório Médico Paffaro,418.66,saúde,pix
144,2025-09-23,14:29:41,Supermercado Akimi,580.58,alimentação,cartão débito
145,2024-11-26,11:13:51,Perfumaria Gonçalves,91.21,despesas pessoais,cartão débito
146,2025-02-24,22:06:24,Loja de Decoração Paffaro,521.65,casa,cartão débito
147,2025-10-15,05:41:53,Barbearia Gonçalves,21.93,despesas pessoais,boleto
148,2025-09-12,14:23:30,Provedor de Internet Iamato,221.66,comunicação,cartão débito
149,2024-10-19,17:16:35,Serviços Gerais Paffaro,163.68,outros,pix
150,2025-08-30,17:55:35,Livraria Gonçalves,108.13,despesas pessoais,cartão débito
151,2025-02-20,15:07:59,Pet Shop Paffaro,191.31,despesas pessoais,boleto
152,2025-06-09,18:20:57,Serviços Postais Gonçalves,14.77,comunicação,pix
153,2025-10-09,02:27:18,Curso de Idiomas Akimi,275.14,educação,cartão crédito
154,2025-07-26,22:27:29,Oficina Mecânica Paffaro,2382.14,transporte,pix
155,2025-02-13,02:47:52,Loja de Utilidades Paffaro,62.52,casa,cartão débito
156,2024-12-02,11:47:44,Farmácia Gonçalves,66.28,saúde,boleto
157,2025-09-09,22:02:39,Loja de Móveis Iamato,3120.46,casa,cartão débito
158,2025-03-23,15:09:54,Teatro Gonçalves,60.77,lazer,boleto
159,2025-07-05,21:35:58,Faculdade Paffaro,3866.62,educação,cartão débito
160,2024-12-02,17:09:44,Bar Gonçalves,53.79,lazer,cartão crédito
161,2025-06-03,08:19:23,Companhia Telefônica Akimi,190.36,comunicação,boleto
162,2025-06-08,03:21:51,Pet Shop Iamato,229.75,despesas pessoais,cartão débito
163,2025-03-12,18:40:11,Academia Paffaro,176.98,despesas pessoais,boleto
164,2025-06-02,06:04:35,Barbearia Akimi,87.72,despesas pessoais,pix
165,2025-06-28,04:37:59,Livraria Iamato,51.6,despesas pessoais,cartão débito
166,2025-03-03,05:12:39,Livraria Iamato,171.8,educação,boleto
167,2025-03-13,13:06:34,Curso Online Paffaro,823.44,educação,cartão crédito
168,2025-02-03,08:13:52,Loja de Decoração Akimi,448.37,casa,cartão débito
169,2025-01-13,14:25:12,Serviços Postais Iamato,10.25,comunicação,pix
170,2025-04-10,02:55:56,Hospital Paffaro,210.22,saúde,boleto
171,2025-06-06,17:56:13,Consultoria Akimi,1405.71,outros,boleto
172,2025-04-02,00:15:36,Teatro Akimi,103.49,lazer,cartão débito
173,2025-02-02,21:57:51,Barbearia Akimi,67.17,despesas pessoais,cartão débito
174,2025-02-22,21:25:11,Parque Gonçalves,24.95,lazer,cartão débito
175,2025-07-08,13:38:32,Provedor de Internet Paffaro,96.87,comunicação,pix
176,2025-01-19,03:36:00,Mercado Akimi,91.72,alimentação,cartão débito
177,2025-01-01,03:20:16,App de Transporte Iamato,69.43,transporte,cartão débito
178,2025-09-18,17:19:04,Perfumaria Gonçalves,148.11,despesas pessoais,boleto
179,2024-11-02,01:40:53,Curso de Idiomas Paffaro,687.18,educação,boleto
180,2025-04-12,19:22:27,Cinema Akimi,28.29,lazer,cartão crédito
181,2025-06-20,21:49:39,Estacionamento Paffaro,19.04,transporte,pix
182,2025-03-16,09:53:29,Posto de Gasolina Iamato,186.88,transporte,boleto
183,2025-02-19,21:14:00,Barbearia Paffaro,60.39,despesas pessoais,boleto
184,2025-04-09,13:58:52,Serviços Postais Akimi,27.01,comunicação,boleto
185,2025-10-14,00:26:43,Doceria Gonçalves,62.82,alimentação,cartão débito
186,2025-01-30,15:19:47,Serviços Gerais Gonçalves,466.71,outros,pix
187,2025-05-13,09:55:17,Consultório Médico Iamato,473.63,saúde,cartão débito
188,2024-12-08,20:34:52,Escola Akimi,2214.59,educação,pix
189,2025-01-18,02:18:30,Estacionamento Akimi,110.32,transporte,pix
190,2025-09-21,19:21:23,Consultoria Akimi,778.79,outros,cartão débito
191,2025-08-25,03:11:14,Clínica Odontológica Akimi,699.85,saúde,cartão crédito
192,2025-05-17,05:49:09,Teatro Akimi,99.2,lazer,boleto
193,2025-06-26,20:24:38,Pet Shop Iamato,375.83,despesas pessoais,cartão crédito
194,2025-05-03,07:24:16,Hospital Akimi,4330.24,saúde,pix
195,2024-11-23,04:11:16,Loja de Utilidades Akimi,141.0,casa,cartão débito
196,2025-07-06,02:19:28,Loja de Peças Iamato,585.24,transporte,cartão crédito
197,2025-04-18,11:42:18,Teatro Paffaro,72.1,lazer,cartão crédito
198,2025-10-16,06:55:19,Teatro Akimi,137.59,lazer,cartão crédito
199,2025-07-31,13:14:39,Consultório Médico Iamato,151.28,saúde,boleto
200,2025-04-01,22:55:57,Serviços Gerais Iamato,372.8,outros,pix
201,2025-07-10,03:27:39,Hortifruti Paffaro,63.04,alimentação,cartão débito
202,2025-08-25,08:24:27,App de Transporte Paffaro,15.72,transporte,boleto
203,2025-06-18,01:55:38,Papelaria Paffaro,99.91,educação,cartão crédito
204,2025-09-21,23:36:35,Curso de Idiomas Iamato,588.11,educação,pix
205,2024-11-02,16:48:04,Provedor de Internet Iamato,141.33,comunicação,cartão débito
206,2024-11-08,07:02:02,Doação Gonçalves,282.13,outros,pix
207,2024-10-25,09:59:12,Bar Paffaro,49.29,lazer,cartão débito
208,2025-04-08,11:10:22,Impostos Gonçalves,1127.09,outros,pix
209,2025-10-15,02:17:48,Clínica Odontológica Paffaro,141.64,saúde,cartão débito
210,2025-07-09,13:55:12,Posto de Gasolina Gonçalves,94.07,transporte,boleto
211,2025-07-07,15:45:10,Pedágio Iamato,26.42,transporte,cartão débito
212,2025-05-16,03:44:45,Agência de Viagens Gonçalves,4207.39,lazer,boleto
213,2025-10-11,17:39:33,Loja de Decoração Paffaro,359.95,casa,cartão crédito
214,2025-01-29,06:23:53,Agência de Viagens Akimi,2824.99,lazer,pix
215,2025-01-07,16:46:44,Barbearia Iamato,23.64,despesas pessoais,cartão débito
216,2025-06-27,23:21:37,Cafeteria Akimi,6.6,alimentação,pix
217,2025-10-06,13:22:02,Provedor de Internet Iamato,253.48,comunicação,boleto
218,2025-02-18,06:54:35,Recarga de Celular Gonçalves,62.72,comunicação,cartão débito
219,2025-03-25,20:40:17,Recarga de Celular Iamato,93.22,comunicação,pix
220,2024-11-03,08:24:15,Recarga de Celular Iamato,22.35,comunicação,boleto
221,2024-11-09,19:50:12,Loja de Jogos Iamato,340.09,lazer,cartão débito
222,2025-07-23,13:03:37,Curso Online Paffaro,789.21,educação,pix
223,2025-02-27,04:11:08,Clínica Odontológica Gonçalves,101.14,saúde,boleto
224,2025-06-10,17:19:17,Perfumaria Akimi,449.64,despesas pessoais,boleto
225,2025-06-21,13:34:17,Conta de Água Paffaro,149.62,casa,cartão débito
226,2025-02-22,18:31:06,Plano de Saúde Akimi,1826.95,saúde,cartão débito
227,2025-07-15,19:38:48,Cinema Iamato,38.76,lazer,boleto
228,2025-08-12,22:56:21,Streaming Gonçalves,45.22,lazer,cartão crédito
229,2025-02-24,13:04:48,Eletricista Paffaro,291.24,casa,pix
230,2025-04-04,17:25:44,Loja de Utilidades Iamato,132.29,casa,boleto
231,2025-07-15,07:03:02,Companhia Telefônica Paffaro,212.16,comunicação,cartão débito
232,2025-08-31,08:43:49,Provedor de Internet Iamato,236.32,comunicação,cartão débito
233,2025-06-23,10:04:47,Loja de Peças Gonçalves,892.65,transporte,cartão débito
234,2025-04-04,13:09:00,Loja de Peças Akimi,778.38,transporte,pix
235,2025-05-15,01:31:24,Loja de Departamentos Iamato,485.59,outros,cartão crédito
236,2025-04-24,13:08:11,Material de Construção Akimi,4275.7,casa,cartão débito
237,2025-02-19,02:41:54,Curso de Idiomas Akimi,409.61,educação,cartão débito
238,2025-10-06,22:52:29,Show Gonçalves,619.62,lazer,boleto
239,2024-12-30,13:38:23,Supermercado Iamato,680.78,alimentação,pix
240,2025-01-14,11:55:25,Eletricista Iamato,997.9,casa,cartão crédito
241,2025-07-06,04:40:19,Oficina Mecânica Akimi,2133.85,transporte,cartão débito
242,2025-05-06,08:01:14,Impostos Akimi,1722.78,outros,cartão crédito
243,2025-05-20,12:32:14,Serviços Postais Paffaro,48.82,comunicação,cartão crédito
244,2025-01-07,06:47:44,Doação Gonçalves,195.54,outros,cartão débito
245,2024-12-04,23:01:34,Curso Online Iamato,454.98,educação,cartão débito
246,2025-04-26,10:22:13,Livraria Akimi,188.79,despesas pessoais,cartão débito
247,2025-05-01,19:54:50,Livraria Paffaro,254.12,educação,cartão débito
248,2025-02-01,19:40:45,Posto de Gasolina Gonçalves,106.45,transporte,boleto
249,2025-04-28,02:17:59,Parque Paffaro,54.0,lazer,boleto
250,2025-08-15,04:10:49,Faculdade Iamato,4969.34,educação,cartão débito
251,2025-01-22,16:33:48,Loja de Utilidades Gonçalves,104.67,casa,cartão crédito
252,2025-03-29,23:53:07,Livraria Gonçalves,43.13,despesas pessoais,cartão crédito
253,2025-09-19,13:16:56,Loja de Móveis Gonçalves,622.72,casa,cartão crédito
254,2025-03-19,11:13:40,Faculdade Akimi,1350.0,educação,boleto
255,2025-08-21,04:52:37,Cinema Paffaro,20.05,lazer,pix
256,2024-11-18,02:16:28,Consultoria Paffaro,1519.68,outros,cartão crédito
257,2025-05-20,12:00:51,Eletricista Paffaro,779.31,casa,cartão débito
258,2024-12-31,04:20:10,Barbearia Paffaro,81.67,despesas pessoais,pix
259,2025-02-21,05:41:26,Hospital Iamato,3753.98,saúde,boleto
260,2024-12-08,02:51:32,Empresa de Ônibus Paffaro,10.79,transporte,cartão crédito
261,2024-12-03,14:29:09,Provedor de Internet Iamato,237.08,comunicação,cartão débito
262,2024-10-30,04:40:42,Pet Shop Akimi,380.88,despesas pessoais,boleto
263,2025-01-04,19:02:10,Plano de Saúde Paffaro,763.84,saúde,boleto
264,2025-03-18,14:45:09,Faculdade Akimi,1878.02,educação,cartão débito
265,2025-06-03,02:13:27,Academia Gonçalves,111.75,despesas pessoais,cartão crédito
266,2025-01-16,05:50:05,Laboratório Paffaro,152.99,saúde,cartão débito
267,2025-08-17,23:43:52,Recarga de Celular Paffaro,16.19,comunicação,pix
268,2025-09-19,08:54:25,Loja de Departamentos Gonçalves,186.21,outros,cartão crédito
269,2025-09-14,20:10:57,Doação Paffaro,58.99,outros,pix
270,2025-06-30,20:40:29,App de Transporte Gonçalves,17.89,transporte,cartão crédito
271,2025-01-12,08:09:13,Padaria Gonçalves,12.98,alimentação,cartão débito
272,2025-08-05,02:44:04,Parque Paffaro,62.13,lazer,cartão débito
273,2025-04-16,08:39:15,Curso Online Iamato,551.08,educação,cartão débito
274,2025-05-10,23:17:34,Conta de Luz Akimi,234.52,casa,cartão crédito
275,2025-08-24,05:24:25,Posto de Gasolina Iamato,44.89,transporte,pix
276,2025-09-29,22:02:31,Curso de Idiomas Iamato,585.94,educação,pix
277,2025-06-30,04:41:49,Supermercado Gonçalves,853.26,alimentação,boleto
278,2025-08-23,20:52:33,Loja de Móveis Akimi,4563.93,casa,cartão crédito
279,2025-05-16,04:35:28,Barbearia Paffaro,52.46,despesas pessoais,cartão crédito
280,2025-07-27,02:14:59,Lanchonete Paffaro,54.32,alimentação,cartão débito
281,2025-03-28,22:31:22,Academia Gonçalves,92.98,despesas pessoais,pix
282,2025-01-02,17:30:18,Restaurante Paffaro,131.67,alimentação,pix
283,2025-08-30,10:52:34,Doação Akimi,158.49,outros,cartão crédito
284,2025-04-21,16:03:28,Livraria Akimi,85.2,despesas pessoais,boleto
285,2024-11-17,19:54:11,Pet Shop Paffaro,117.81,despesas pessoais,boleto
286,2024-12-27,21:04:36,Conta de Água Akimi,184.88,casa,pix
287,2025-02-11,19:20:00,Doceria Paffaro,35.92,alimentação,pix
288,2025-02-28,16:46:16,Teatro Paffaro,137.4,lazer,cartão crédito
289,2025-08-05,09:28:32,Eletricista Gonçalves,289.25,casa,boleto
290,2025-04-24,06:38:46,Curso de Idiomas Gonçalves,507.83,educação,cartão crédito
291,2025-02-09,16:29:55,Pet Shop Gonçalves,153.53,despesas pessoais,pix
292,2025-08-15,15:31:45,Show Akimi,496.17,lazer,boleto
293,2025-01-28,14:40:28,Impostos Akimi,738.66,outros,cartão crédito
294,2025-01-12,08:13:14,Loja de Departamentos Gonçalves,268.66,outros,pix
295,2024-11-16,19:13:47,Plano de Saúde Iamato,1881.72,saúde,pix
296,2025-08-06,05:28:04,Oficina Mecânica Gonçalves,116.87,transporte,cartão débito
297,2025-04-22,14:15:00,Agência de Viagens Paffaro,971.27,lazer,cartão débito
298,2024-12-13,20:54:59,Academia Gonçalves,176.22,despesas pessoais,cartão crédito
299,2025-04-14,00:28:24,Restaurante Gonçalves,134.93,alimentação,pix
300,2025-04-30,00:04:44,Teatro Paffaro,275.51,lazer,boleto
301,2025-06-14,03:20:16,Clínica Odontológica Gonçalves,230.12,saúde,pix
302,2025-04-15,03:43:45,Loja de Roupas Akimi,133.85,despesas pessoais,cartão crédito
303,2025-04-15,02:48:13,Sorveteria Gonçalves,43.93,alimentação,pix
